"source","target","value","IDsource","IDtarget"
"YH","LDN",0.523304609128249,0,1
"LDN","SW",0.50111319016161,1,8
"SE","SW",0.657640933786279,2,8
"EE","SW",0.312344142482317,3,8
"EM","SW",0.519777574531543,4,8
"WM","SW",0.583784964116139,5,8
"YH","SW",0.61726762869876,0,8
"NW","SW",0.787815359208466,6,8
"LDN","EE",0.443280608082085,1,3
"SE","EE",0.568600296023234,2,3
"WM","EE",0.290180727950097,5,3
"YH","EE",0.441029961347684,0,3
"NW","EE",0.401345336310368,6,3
"SE","EM",0.405408880928402,2,4
"YH","EM",0.260145695963604,0,4
"NW","EM",0.566437824413567,6,4
"YH","WM",0.268025412011493,0,5
"LDN","NE",0.498121238346802,1,10
"SE","NE",0.640901222709515,2,10
"EE","NE",0.367164033962772,3,10
"EM","NE",0.372683514273903,4,10
"WM","NE",0.746688153309182,5,10
"YH","NE",0.688264497721929,0,10
"NW","NE",0.898911010684124,6,10
"WLS","NE",0.394019124808348,7,10
"SE","WLS",0.313944749122541,2,7
"NW","WLS",0.340842285307515,6,7
"SE","SCT",0.423497868289123,2,9
"YH","SCT",0.434303801898432,0,9
"NW","SCT",0.403938907911539,6,9
"LDN","NI",0.758835375088585,1,11
"SE","NI",0.875474251218298,2,11
"SW","NI",0.468141324118709,8,11
"EE","NI",0.480825119233637,3,11
"EM","NI",0.69833031869937,4,11
"WM","NI",0.702009450324254,5,11
"YH","NI",1,0,11
"NW","NI",0.710757747170436,6,11
"WLS","NI",0.570671840329546,7,11
"SCT","NI",0.501866782599794,9,11
